DATE,USD12MD156N
2013-01-02,0.84250
2013-01-03,0.83950
2013-01-04,0.83850
2013-01-07,0.83450
2013-01-08,0.83450
2013-01-09,0.83400
2013-01-10,0.82300
2013-01-11,0.82100
2013-01-14,0.81900
2013-01-15,0.81400
2013-01-16,0.80950
2013-01-17,0.81000
2013-01-18,0.80900
2013-01-21,0.80900
2013-01-22,0.80900
2013-01-23,0.80750
2013-01-24,0.79850
2013-01-25,0.79650
2013-01-28,0.79750
2013-01-29,0.79550
2013-01-30,0.79050
2013-01-31,0.78100
2013-02-01,0.77700
2013-02-04,0.77300
2013-02-05,0.77050
2013-02-06,0.76950
2013-02-07,0.76750
2013-02-08,0.76600
2013-02-11,0.76500
2013-02-12,0.76400
2013-02-13,0.76200
2013-02-14,0.76250
2013-02-15,0.76000
2013-02-18,0.76000
2013-02-19,0.75950
2013-02-20,0.75850
2013-02-21,0.75600
2013-02-22,0.75550
2013-02-25,0.75450
2013-02-26,0.75250
2013-02-27,0.75250
2013-02-28,0.75150
2013-03-01,0.74950
2013-03-04,0.74500
2013-03-05,0.74300
2013-03-06,0.73850
2013-03-07,0.73650
2013-03-08,0.73350
2013-03-11,0.73300
2013-03-12,0.73050
2013-03-13,0.73000
2013-03-14,0.72900
2013-03-15,0.73100
2013-03-18,0.73150
2013-03-19,0.73500
2013-03-20,0.73700
2013-03-21,0.73550
2013-03-22,0.73750
2013-03-25,0.73100
2013-03-26,0.73250
2013-03-27,0.73150
2013-03-28,0.73150
2013-03-29,.
2013-04-01,.
2013-04-02,0.72800
2013-04-03,0.72500
2013-04-04,0.72300
2013-04-05,0.72100
2013-04-08,0.72100
2013-04-09,0.72100
2013-04-10,0.72100
2013-04-11,0.72000
2013-04-12,0.71900
2013-04-15,0.71900
2013-04-16,0.71750
2013-04-17,0.71500
2013-04-18,0.71500
2013-04-19,0.71500
2013-04-22,0.71550
2013-04-23,0.71100
2013-04-24,0.71200
2013-04-25,0.71100
2013-04-26,0.71050
2013-04-29,0.70850
2013-04-30,0.70450
2013-05-01,0.70400
2013-05-02,0.70310
2013-05-03,0.70210
2013-05-06,.
2013-05-07,0.70310
2013-05-08,0.70310
2013-05-09,0.70210
2013-05-10,0.70110
2013-05-13,0.70110
2013-05-14,0.69510
2013-05-15,0.68989
2013-05-16,0.68989
2013-05-17,0.68839
2013-05-20,0.68739
2013-05-21,0.68589
2013-05-22,0.68589
2013-05-23,0.68589
2013-05-24,0.68589
2013-05-27,.
2013-05-28,0.68400
2013-05-29,0.69070
2013-05-30,0.68800
2013-05-31,0.68920
2013-06-03,0.69020
2013-06-04,0.68720
2013-06-05,0.68620
2013-06-06,0.68520
2013-06-07,0.68520
2013-06-10,0.68320
2013-06-11,0.68470
2013-06-12,0.68320
2013-06-13,0.67870
2013-06-14,0.66910
2013-06-17,0.66810
2013-06-18,0.66810
2013-06-19,0.66810
2013-06-20,0.68045
2013-06-21,0.68295
2013-06-24,0.70315
2013-06-25,0.70115
2013-06-26,0.69765
2013-06-27,0.69065
2013-06-28,0.68565
2013-07-01,0.69015
2013-07-02,0.68815
2013-07-03,0.69065
2013-07-04,0.69165
2013-07-05,0.68965
2013-07-08,0.69415
2013-07-09,0.69165
2013-07-10,0.69365
2013-07-11,0.68835
2013-07-12,0.68585
2013-07-15,0.68985
2013-07-16,0.68719
2013-07-17,0.68419
2013-07-18,0.68094
2013-07-19,0.68094
2013-07-22,0.68094
2013-07-23,0.67594
2013-07-24,0.67544
2013-07-25,0.67594
2013-07-26,0.67369
2013-07-29,0.67319
2013-07-30,0.67319
2013-07-31,0.67319
2013-08-01,0.67319
2013-08-02,0.67419
2013-08-05,0.66639
2013-08-06,0.66539
2013-08-07,0.66539
2013-08-08,0.66489
2013-08-09,0.66489
2013-08-12,0.66510
2013-08-13,0.66460
2013-08-14,0.66760
2013-08-15,0.66760
2013-08-16,0.66760
2013-08-19,0.66832
2013-08-20,0.66710
2013-08-21,0.66610
2013-08-22,0.67310
2013-08-23,0.67560
2013-08-26,.
2013-08-27,0.66810
2013-08-28,0.66760
2013-08-29,0.66710
2013-08-30,0.66710
2013-09-02,0.66810
